"Source:","/home/ali/src/kicad/projects/reservoir_controller/reservoir_controller.sch"
"Date:","Fri 23 Nov 2018 13:11:57 CET"
"Tool:","Eeschema 6.0.0-rc1-unknown-f2ccad3~66~ubuntu16.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","57"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Chip Datasheet","GDBStub","GDBStub Instructions"
"","","C1","100n","Device:C","alis_parts:C_0603","","","",""
"","","C2","100n","Device:C","alis_parts:C_0603","","","",""
"","","C3","100n","Device:C","alis_parts:C_0603","","","",""
"","","C4","68uF","Device:CP","alis_parts:CP_Tantalum_Case-C_EIA-6032-28_Reflow","~","","",""
"","","C5","120uF","Device:CP","alis_parts:CP_Tantalum_Case-D_EIA-7343-31_Reflow","~","","",""
"","","D1","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D2","1N4148","Device:D","alis_parts:D_SOD-323","","","",""
"","","D3","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D4","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D5","1N4148","Device:D","alis_parts:D_SOD-323","","","",""
"","","D6","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D7","1N4148","Device:D","alis_parts:D_SOD-323","","","",""
"","","D8","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D9","LED","Device:LED","alis_parts:LED-0603","~","","",""
"","","D10","1N5817","reservoir_controller-rescue:D_Schottky-device-autodoser-rescue","alis_parts:D_SMA","","","",""
"","","J1","ESP UART","reservoir_controller-rescue:Conn_02x03_Counter_Clockwise-conn-autodoser-rescue","alis_parts:Pin_Header_Straight_2x03_Pitch2.54mm","~","","",""
"","","J2","Conn_01x02","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J3","Level Input","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J4","Conn_01x02","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J5","Conn_01x02","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J6","Level Input","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"","","J7","Conn_01x02-conn","reservoir_controller-rescue:Conn_01x02-conn-autodoser-rescue","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","","","",""
"","","L1","100uH","Device:L","alis_parts:Choke_SMD_7.3x7.3_H4.5","~","","",""
"","","M1","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"","","M2","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"","","M3","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"","","M4","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"","","Q1","QM3006D","Device:Q_NMOS_GDS","alis_parts:TO-252-2","","","",""
"","","Q2","QM3006D","Device:Q_NMOS_GDS","alis_parts:TO-252-2","","","",""
"","","Q3","QM3006D","Device:Q_NMOS_GDS","alis_parts:TO-252-2","","","",""
"","","R1","10k","Device:R","alis_parts:R_0603","","","",""
"","","R2","10k","Device:R","alis_parts:R_0603","","","",""
"","","R3","10k","Device:R","alis_parts:R_0603","","","",""
"","","R4","330","Device:R","alis_parts:R_0603","","","",""
"","","R5","12k","pspice:R","alis_parts:R_0603","","","",""
"","","R6","4k7","pspice:R","alis_parts:R_0603","","","",""
"","","R7","1R","pspice:R","alis_parts:R_0603","","","",""
"","","R8","1k","pspice:R","alis_parts:R_0603","","","",""
"","","R9","4k7","pspice:R","alis_parts:R_0603","","","",""
"","","R10","330","Device:R","alis_parts:R_0603","","","",""
"","","R11","330","Device:R","alis_parts:R_0603","","","",""
"","","R12","10k","Device:R","alis_parts:R_0603","","","",""
"","","R13","10k","Device:R","alis_parts:R_0603","","","",""
"","","R14","330","Device:R","alis_parts:R_0603","","","",""
"","","R15","10k","Device:R","alis_parts:R_0603","","","",""
"","","R16","330","Device:R","alis_parts:R_0603","","","",""
"","","R17","330","Device:R","alis_parts:R_0603","","","",""
"","","R18","10k","Device:R","alis_parts:R_0603","","","",""
"","","R19","330","Device:R","alis_parts:R_0603","","","",""
"","","R20","330","Device:R","alis_parts:R_0603","","","",""
"","","SW1","SW_PUSH","alis_parts:SW_PUSH","alis_parts:BUTTON_5.1","","","",""
"","","SW2","SW_PUSH","alis_parts:SW_PUSH","alis_parts:BUTTON_5.1","","","",""
"","","SW3","SW_PUSH","alis_parts:SW_PUSH","alis_parts:BUTTON_5.1","","","",""
"","","U1","ESP-12E","alis_parts:ESP-12E","alis_parts:ESP-12E","/home/ali/src/kicad/projects/reservoir_controller/datasheets/esp8266-esp12e-specs.pdf","/home/ali/src/kicad/projects/reservoir_controller/datasheets/0a-esp8266ex_datasheet_en.pdf","https://github.com/espressif/esp-gdbstub","https://blog.attachix.com/live-debugging-with-open-source-tools-programming-for-esp8266-part-4/"
"","","U2","PC817","Isolator:PC817","alis_parts:SO-4_7.6x3.6mm_Pitch2.54mm","/home/ali/src/kicad/projects/reservoir_controller/datasheets/EL817.pdf","","",""
"","","U3","PC817","Isolator:PC817","alis_parts:SO-4_7.6x3.6mm_Pitch2.54mm","/home/ali/src/kicad/projects/reservoir_controller/datasheets/EL817.pdf","","",""
"","","U4","LM2594HVM-3.3","reservoir_controller-rescue:LM2594HVM-3.3-lm2594m","alis_parts:SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm","/home/ali/src/kicad/projects/reservoir_controller/datasheets/lm2594hv.pdf","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Chip Datasheet","GDBStub","GDBStub Instructions"
"1","3","C1, C2, C3","100n","Device:C","alis_parts:C_0603","","","",""
"2","1","C4","68uF","Device:CP","alis_parts:CP_Tantalum_Case-C_EIA-6032-28_Reflow","~","","",""
"3","1","C5","120uF","Device:CP","alis_parts:CP_Tantalum_Case-D_EIA-7343-31_Reflow","~","","",""
"4","6","D1, D3, D4, D6, D8, D9","LED","Device:LED","alis_parts:LED-0603","~","","",""
"5","3","D2, D5, D7","1N4148","Device:D","alis_parts:D_SOD-323","","","",""
"6","1","D10","1N5817","reservoir_controller-rescue:D_Schottky-device-autodoser-rescue","alis_parts:D_SMA","","","",""
"7","1","J1","ESP UART","reservoir_controller-rescue:Conn_02x03_Counter_Clockwise-conn-autodoser-rescue","alis_parts:Pin_Header_Straight_2x03_Pitch2.54mm","~","","",""
"8","3","J2, J4, J5","Conn_01x02","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"9","2","J3, J6","Level Input","Connector_Generic:Conn_01x02","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","~","","",""
"10","1","J7","Conn_01x02-conn","reservoir_controller-rescue:Conn_01x02-conn-autodoser-rescue","alis_parts:Pin_Header_Straight_1x02_Pitch2.54mm","","","",""
"11","1","L1","100uH","Device:L","alis_parts:Choke_SMD_7.3x7.3_H4.5","~","","",""
"12","4","M1, M2, M3, M4","MOUNTING_HOLE","alis_parts:MOUNTING_HOLE","alis_parts:MountingHole_3.2mm_M3","","","",""
"13","3","Q1, Q2, Q3","QM3006D","Device:Q_NMOS_GDS","alis_parts:TO-252-2","","","",""
"14","7","R1, R2, R3, R12, R13, R15, R18","10k","Device:R","alis_parts:R_0603","","","",""
"15","8","R4, R10, R11, R14, R16, R17, R19, R20","330","Device:R","alis_parts:R_0603","","","",""
"16","1","R5","12k","pspice:R","alis_parts:R_0603","","","",""
"17","2","R6, R9","4k7","pspice:R","alis_parts:R_0603","","","",""
"18","1","R7","1R","pspice:R","alis_parts:R_0603","","","",""
"19","1","R8","1k","pspice:R","alis_parts:R_0603","","","",""
"20","3","SW1, SW2, SW3","SW_PUSH","alis_parts:SW_PUSH","alis_parts:BUTTON_5.1","","","",""
"21","1","U1","ESP-12E","alis_parts:ESP-12E","alis_parts:ESP-12E","/home/ali/src/kicad/projects/reservoir_controller/datasheets/esp8266-esp12e-specs.pdf","/home/ali/src/kicad/projects/reservoir_controller/datasheets/0a-esp8266ex_datasheet_en.pdf","https://github.com/espressif/esp-gdbstub","https://blog.attachix.com/live-debugging-with-open-source-tools-programming-for-esp8266-part-4/"
"22","2","U2, U3","PC817","Isolator:PC817","alis_parts:SO-4_7.6x3.6mm_Pitch2.54mm","/home/ali/src/kicad/projects/reservoir_controller/datasheets/EL817.pdf","","",""
"23","1","U4","LM2594HVM-3.3","reservoir_controller-rescue:LM2594HVM-3.3-lm2594m","alis_parts:SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm","/home/ali/src/kicad/projects/reservoir_controller/datasheets/lm2594hv.pdf","","",""
